site_name,reg_no,permit_date,program_type,county,regional_office,pdf_url
"Amazon Data Services, Inc. IAD-150 IAD-151 IAD-152",74174,,08/09/2019,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25936/638633803342700000
"Amazon Data Services, Inc.",74181,,03/19/2020,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25938/638633845487370000
"Amazon Data Services, Inc. IAD-140/141/143",74184,,08/01/2022,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25940/638633845946570000
Equinix LLC (DC-21/DC-22),74189,,10/17/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/32404/638989963114970000
Amazon DCA-50,74190,,07/16/2020,Article 6 - mNSR,Culpeper County,https://www.deq.virginia.gov/home/showpublisheddocument/25944/638633847472900000
QTS LLC - Ashburn-Shellhorn Data Center,74197,,02/04/2022,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25948/638633853120600000
Amazon Data Services - DCA-51,74198,,07/16/2024,Article 6 - mNSR,Fauquier County,https://www.deq.virginia.gov/home/showpublisheddocument/25950/638633853758100000
Microsoft,74201,,02/08/2023,Article 6 - mNSR,Fauquier County,https://www.deq.virginia.gov/home/showpublisheddocument/25952/638633854222530000
Amazon Data Services Inc IAD-120/121/122,74205,,11/15/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25954/638675968517730000
Amazon DCA-54,74207,,07/16/2024,Article 6 - mNSR,Fairfax County,https://www.deq.virginia.gov/home/showpublisheddocument/25956/638633855631770000
Digital Western Lands LLC,74212,,10/10/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/32403/638989963113270000
"Amazon Data Services Inc IAD-161, IAD-162, IAD-606, IAD-285, IAD-286, IAD-299, IAD-611",74214,,07/09/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25960/638633856694070000
Nova Mango Farms LLC,74216,,02/27/2024,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25962/638633857089300000
Microsoft Corp - Leesburg Data Center (IAD01-02-03-04-05),74220,,03/07/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25630/638771964788470000
Microsoft Corp Blue Ridge (IAD11-12-13) Data Center,74221,,07/21/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25964/638892954826130000
"SI NVA02D, LLC",74224,,10/16/2023,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25966/638633868679100000
Amazon Data Services Inc - IAD-163/164/174,74227,,06/21/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25968/638633869100830000
ASH2 Lockridge Data Center - QTS Investment Properties Ashburn II LLC,74232,,08/05/2024,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25970/638633869849270000
"Darab Ventures One, Two, Six LLC",74234,,10/31/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/32402/638989963111870000
Cologix ASH1,74235,,07/23/2025,Article 6 - mNSR,Loudoun County,https://www.deq.virginia.gov/home/showpublisheddocument/25974/638889504246870000
Microsoft - Gainesville Data Center - MNZ03,74236,,08/05/2024,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25976/638633871882970000
Microsoft - Manassas Data Center - MNZ01,74237,,01/17/2024,Article 6 - mNSR,Prince William County,https://www.deq.virginia.gov/home/showpublisheddocument/25978/638633872515870000
